,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
265,266,Unum Group,11998.9,1100.3,67013.4,3046.6,10300,http://www.unum.com
266,267,CSX,11937,3331,38257,44161.7,20908,#N/A
267,268,AutoZone,11863.7,1617.2,9895.9,19756.2,75840,#N/A
268,269,Pacific Life,11847,725,171473,-,3815,http://www.pacificlife.com
269,270,Vistra Energy,11809,928,26616,7795.3,5475,http://www.visteon.com
270,271,Charles Schwab,11785,3704,294005,43278.2,19700,#N/A
271,272,Crown Holdings,11665,510,15505,7875.8,33043,#N/A
272,273,Ally Financial,11618,1715,180644,5402.5,8700,#N/A
273,274,Laboratory Corp. of America,11554.8,823.8,18046.4,12297.7,65000,http://www.labcorp.com
274,275,Live Nation Entertainment,11548,69.9,10975.6,9752.6,18200,http://www.livenation.com
275,276,Xcel Energy,11529,1372,50448,31637.5,11295,http://www.xcelenergy.com
276,277,Corning,11503,960,28898,15664.2,49500,#N/A
277,278,W.W. Grainger,11486,849,6005,13337.8,24550,http://www.grainger.com
278,279,Ball,11474,566,17360,21065.3,18300,#N/A
279,280,Fox,11389,1595,19509,14142.9,7700,http://www.fossilgroup.com
280,281,Universal Health Services,11378.3,814.9,11668.3,8593.2,79050,http://www.uhsinc.com
281,282,Baxter International,11362,1001,18193,41180.1,50000,#N/A
282,283,Norfolk Southern,11296,2722,37923,37537.3,24587,http://www.nscorp.com
283,284,Navistar International,11251,221,6917,1640.6,12300,http://www.navistar.com
284,285,Adobe,11171.3,2951.5,20762.4,153328.3,22634,#N/A
285,286,J.C. Penney,11167,-268,7989,115.6,90000,http://www.jcpenney.com
286,287,Discovery,11144,2069,33735,9503.1,9200,#N/A
287,288,Keurig Dr Pepper,11120,1254,49518,34147.6,25500,http://www.kennametal.com
288,289,Leidos Holdings,11094,667,9367,13000.3,34000,http://www.leidos.com
289,290,IQVIA Holdings,11088,191,23251,20797.2,67000,http://www.intuitivesurgical.com
290,291,Reliance Steel & Aluminum,10973.8,701.5,8131.1,5856.3,15300,http://www.rsac.com
291,292,Nvidia,10918,2796,17315,161451.2,13775,http://www.nvidia.com
292,293,Entergy,10878.7,1241.2,51723.9,18870.6,13635,http://www.entergy.com
293,294,FirstEnergy,10850,912,42301,21666.4,12316,http://www.firstenergycorp.com
294,295,eBay,10800,1786,18174,23930.2,13300,http://www.ebay.com
295,296,Boston Scientific,10735,4700,30565,45655.9,36000,#N/A
296,297,Office Depot,10647,99,7311,867.7,40000,http://www.officedepot.com
297,298,Molson Coors Beverage,10579.4,241.7,28859.8,8441,17700,http://www.molinahealthcare.com
298,299,Steel Dynamics,10465,671.1,8275.8,4793.8,8385,http://www.steeldynamics.com
299,300,Mutual of Omaha Insurance,10455.7,271.5,50173.6,-,6072,http://www.mutualofomaha.com
300,301,Sonic Automotive,10454.3,144.1,4071,567.1,9300,http://www.sonicautomotive.com
301,302,Alcoa,10433,-1125,14631,1145.2,13800,#N/A
302,303,Fidelity National Information Services,10333,298,83806,74969.4,55000,http://www.fisglobal.com
303,304,Henry Schein,10305.3,694.7,7151.1,7244.1,19000,http://www.henryschein.com
304,305,Republic Services,10299.4,1073.3,22683.8,23955.7,36000,http://www.republicservices.com
305,306,Liberty Media,10292,106,44189,9971.6,6753,http://www.libertymedia.com
306,307,Peter [hotlink ignore=true]Kiewit[/hotlink] Sons',10283,419,5717,-,23000,http://www.perkinelmer.com
