,Rank,Name,Revenue($m),Profit($m),Assets($m),Market_Value($m),Employees,URL
516,517,Sonoco Products,5374.2,291.8,5126.3,4650.7,23000,http://www.sonoco.com
517,518,Roper Technologies,5366.8,1767.9,18108.9,33086.1,16460,http://www.ropertech.com
518,519,Harley-Davidson,5361.8,423.6,10528.2,2892.7,5600,#N/A
519,520,Jefferies Financial Group,5358.7,964.7,49460.2,3788.1,4800,#N/A
520,521,Kelly Services,5355.6,112.4,2480.6,496.4,7700,#N/A
521,522,Microchip Technology,5349.5,355.9,18350,16240.7,18286,http://www.michaels.com
522,523,McCormick,5347.4,702.7,10362.1,18767.4,12400,http://www.mccormickcorporation.com
523,524,MDU Resources Group,5336.9,335.5,7683.1,4310.2,13359,http://www.mdu.com
524,525,Fastenal,5333.7,790.9,3799.9,17949.9,21948,#N/A
525,526,Big Lots,5323.2,242.5,3189.3,557,22250,#N/A
526,527,Penn National Gaming,5301.4,43.9,14194.5,1478.3,28300,http://www.pngaming.com
527,528,Western Union,5292.1,1058.3,8758.5,7489.9,11500,http://www.westernunion.com
528,529,Under Armour,5267.1,92.1,4843.5,3878.1,11700,http://www.uabiz.com
529,530,Xylem,5249,401,7710,11737.9,16300,http://www.xyleminc.com
530,531,Skechers U.S.A.,5242.5,346.6,4892.9,3724.9,8550,http://www.skx.com
531,532,Domtar,5220,84,4903,1217.8,10000,#N/A
532,533,NiSource,5208.9,383.1,22659.8,9545.1,8363,http://www.nisource.com
533,534,Marathon Oil,5190,480,20245,2618.3,2000,http://www.marathonoil.com
534,535,National General Holdings,5179.6,348.1,9756.5,1881.9,9200,http://www.nationalfuelgas.com
535,536,Telephone & Data Systems,5176,121,10781,1923.7,9400,http://www.tdsinc.com
536,537,Agilent Technologies,5163,1071,9452,22177.2,16300,#N/A
537,538,Ametek,5158.6,861.3,9844.6,16506.3,18100,#N/A
538,539,Evergy,5147.8,669.9,25975.9,12477.6,4617,#N/A
539,540,International Flavors & Fragrances,5140.1,455.9,13287.4,10902.4,13668,#N/A
540,541,ADT,5125.7,-424.2,16083.7,3282.7,17500,#N/A
541,542,Welltower,5121.3,1232.4,33380.8,18795.2,443,www.welltower.com
542,543,Windstream Holdings,5115.4,-3090,9897.5,2.2,11945,http://www.windstream.com
543,544,Michaels,5072,272.6,3838.1,237.9,28000,http://www.mgmresorts.com
544,545,Kemper,5039.2,531.1,12989.1,4970.1,8900,#N/A
545,546,Hyatt Hotels,5020,766,8417,4852.5,55000,#N/A
546,547,Alexion Pharmaceuticals,4991.1,2404.3,17544.6,19942.4,3082,#N/A
547,548,Resideo Technologies,4988,36,5128,595,13000,http://www.republicservices.com
548,549,CACI International,4986.3,265.6,5086.8,5293.9,22100,#N/A
549,550,Electronic Arts,4950,1019,8957,29016.7,9700,#N/A
550,551,Vulcan Materials,4929.1,617.7,10648.8,14325.2,9173,http://www.vulcanmaterials.com
551,552,TreeHouse Foods,4926.9,-361,5139.4,2484,10800,http://www.treehousefoods.com
552,553,Global Payments,4911.9,430.6,44480.2,43287.5,24000,#N/A
553,554,Hanover Insurance Group,4897.4,425.1,12490.5,3457.4,4300,#N/A
554,555,Camping World Holdings,4892,-60.6,3376.2,502.1,11508,#N/A
555,556,Cornerstone Building Brands,4889.7,-15.4,5564.3,574.9,20100,#N/A
556,557,YRC Worldwide,4871.2,-104,1831.6,60.6,29000,http://www.yrcw.com
557,558,CME Group,4868,2116.5,75215.3,61984.7,4360,#N/A
558,559,Chewy,4846.7,-252.4,932.3,14943.5,12000,#N/A
559,560,Knight-Swift Transportation Holdings,4844,309.2,8281.7,5568.6,23700,#N/A
560,561,Moody's,4829,1422,10265,39594.4,11081,http://www.moodys.com
561,562,Coca-Cola Consolidated,4826.5,11.4,3126.9,1954.7,15850,#N/A
562,563,Carlisle,4811.6,472.8,5496,6976.9,14000,#N/A
563,564,Sealed Air,4791.1,263,5765.2,3821.9,16500,http://www.sealedair.com
564,565,A-Mark Precious Metals,4783.2,2.2,705.4,86.3,183,#N/A
565,566,Watsco,4770.4,246,2556.2,6049.8,5800,http://www.watsco.com
566,567,Taylor Morrison Home,4762.1,254.7,5245.7,1478.9,2300,http://www.taylormorrison.com
567,568,IAC/InterActiveCorp,4757.1,431.1,8332.8,15191.5,8700,#N/A
568,569,Leggett & Platt,4752.5,333.8,4816.4,3528.4,22000,#N/A
569,570,OneMain Holdings,4749,855,22817,2604,9700,www.archrock.com
570,571,Schneider National,4747,147,3660.1,3425.5,15650,http://www.scansource.com
571,572,Martin Marietta Materials,4739.1,611.9,10131.6,11769.9,8846,#N/A
572,573,NortonLifeLock,4731,31,15938,11233.2,11900,http://www.northwesternmutual.com
573,574,Hasbro,4720.2,520.5,8855.6,9793.5,5600,#N/A
574,575,Square,4713.5,375.4,4551.3,22797.6,3835,http://www.spx.com
575,576,Terex,4680.3,54.4,3195.6,1015.3,9500,http://www.terex.com
576,577,Syneos Health,4675.8,131.3,7453.8,4109.4,24000,http://www.symetra.com
577,578,FMC,4661.9,477.4,9872.7,10574,6400,#N/A
578,579,Boise Cascade,4643.4,80.9,1693.4,932.1,6010,#N/A
579,580,SS&C Technologies Holdings,4632.9,438.5,16741.1,11203.5,22800,http://www.spx.com
580,581,Continental Resources,4631.9,775.6,15727.9,2789.4,1260,#N/A
581,582,Peabody Energy,4623.4,-211.3,6542.8,281.6,6600,http://www.peabodyenergy.com
582,583,Encompass Health,4605,358.7,6080.7,6302.7,35690,#N/A
583,584,Greif,4595,171,5426.7,1698.1,17000,#N/A
584,585,Concho Resources,4592,-705,24732,8428.9,1453,#N/A
585,586,Hubbell,4591,400.9,4903,6239.4,18800,#N/A
586,587,CF Industries Holdings,4590,493.1,12171.9,5879.9,2987,#N/A
587,588,KLA,4568.9,1175.6,9008.5,22534.4,10020,#N/A
588,589,Genesis Healthcare,4565.8,14.6,4662.1,138.9,55000,#N/A
589,590,Brunswick,4556.7,-131,3564.4,2806.8,12828,#N/A
590,591,KB Home,4552.7,268.8,5015.5,1630.8,2140,#N/A
591,592,Globe Life,4527.5,760.8,25977.5,7729.4,3196,#N/A
592,593,Mattel,4504.6,-213.5,5325.2,3055.9,24000,#N/A
593,594,Ryerson Holding,4501.6,82.4,2021.5,199.3,4500,http://www.ryerson.com
594,595,Silgan Holdings,4489.9,193.8,4931.1,3214.8,13220,http://www.silganholdings.com
595,596,Zebra Technologies,4485,544,4711,9916,8200,http://www.yum.com
596,597,Intuitive Surgical,4478.5,1379.3,9733.2,57432,7326,#N/A
597,598,Warner Music Group,4475,256,6017,-,5400,http://www.wmg.com
598,599,Conduent,4467,-1934,4514,519.1,67000,#N/A
599,600,Tutor Perini,4450.8,-387.7,4485.8,339.2,9100,http://www.tutorperini.com
600,601,Juniper Networks,4445.4,345,8837.7,6326.3,9419,#N/A
601,602,Noble Energy,4438,-1512,20647,2929.6,2282,http://www.nobleenergyinc.com
602,603,Vertiv Holdings,4431.2,-140.8,4657.4,2840.8,19800,http://www.verizon.com
603,604,Tiffany,4424,541.1,6660.1,15694.3,14100,http://www.tiffany.com
604,605,EQT,4416.5,-1221.7,18809.2,1806.1,647,#N/A
605,606,Universal Forest Products,4416,179.7,1889.5,2296.8,12000,http://www.ufpi.com
606,607,Diebold Nixdorf,4408.7,-341.3,3790.6,272.8,22000,#N/A
607,608,Antero Resources,4408.7,-340.1,15197.6,204.4,547,#N/A
608,609,Meritor,4388,291,2815,979.3,9100,#N/A
609,610,Broadridge Financial Solutions,4362.2,482.1,3880.7,10886.7,11000,#N/A
610,611,Church & Dwight,4357.7,615.9,6657.4,15773.9,4800,#N/A
611,612,Marriott Vacations Worldwide,4355,138,9214,2280.3,22000,#N/A
612,613,Edwards Lifesciences,4348,1046.9,6488.1,39105.8,13900,#N/A
613,614,Colfax,4326.3,-527.6,7386.8,2339.3,15000,#N/A
614,615,Insperity,4314.8,151.1,1395,1468.9,3500,#N/A
615,616,American Eagle Outfitters,4308.2,191.3,3328.7,1329.3,27000,#N/A
616,617,Keysight Technologies,4303,621,6623,15681.2,13600,#N/A
617,618,JELD-WEN Holding,4289.8,63,3381.3,980.3,23300,#N/A
618,619,Iron Mountain,4262.6,267.4,13816.8,6838.8,25000,#N/A
619,620,Nasdaq,4262,774,13924,15604.8,4361,#N/A
620,621,Gartner,4245.3,233.3,7151.3,8871.8,16724,#N/A
621,622,Sinclair Broadcast Group,4240,47,17370,1472.5,11800,http://www.simon.com
622,623,Ingles Markets,4202,81.6,1867.3,732.6,18630,#N/A
623,624,Monster Beverage,4200.8,1107.8,5150.4,30205.8,3092,#N/A
624,625,Murphy Oil,4194,1149.7,11718.5,941.4,822,#N/A
625,626,Vertex Pharmaceuticals,4162.8,1176.8,8318.5,61693,3000,http://www.verizon.com
626,627,First Republic Bank,4156.7,930.3,116263.6,14093.5,4812,#N/A
627,628,Bloomin' Brands,4139.4,130.6,3592.7,621.4,94000,#N/A
628,629,Spectrum Brands Holdings,4138.8,471.9,5230.5,1669.2,13000,http://www.spectraenergy.com
629,630,Quad/Graphics,4137.2,-156.3,2417.1,136,19600,http://www.qg.com
630,631,Flowers Foods,4124,164.5,3177.8,4341.3,9700,#N/A
631,632,CUNA Mutual Group,4122.7,219.6,24609.6,-,3600,#N/A
632,633,Allegheny Technologies,4122.5,257.6,5634.6,1076.3,8100,#N/A
633,634,Old Dominion Freight Line,4109.1,615.5,3995.6,15691.6,20105,http://www.odfl.com
634,635,Landstar System,4089.6,227.7,1427.7,3784.9,1333,#N/A
635,636,American National Insurance,4070.1,620.4,28597.6,2215,4640,#N/A
636,637,Snap-on,4067.7,693.5,5693.5,5951.1,12800,http://www.snapon.com
637,638,Brookdale Senior Living,4057.1,-267.9,7194.4,574.9,48400,#N/A
638,639,Amkor Technology,4052.7,120.9,4695.6,1877.8,29650,#N/A
639,640,Wyndham Destinations,4043,507,7453,1894.5,22500,http://www.wpxenergy.com
640,641,PPD,4031,47.8,5556.2,6208.2,23000,http://www.postholdings.com
641,642,Dentsply Sirona,4029.2,262.9,8602.9,8598.5,15200,#N/A
642,643,CNO Financial Group,4015.8,409.4,33630.9,1795.1,3300,#N/A
643,644,Urban Outfitters,3983.8,168.1,3315.6,1392.3,16800,http://www.urbanoutfittersinc.com
644,645,Sabre,3975,158.6,5690,1623.4,9250,http://www.sabre.com
645,646,Mercury General,3972.5,320.1,5889.2,2254.2,4500,#N/A
646,647,Diamondback Energy,3964,240,23531,4147.1,712,#N/A
647,648,Parsons,3954.8,120.5,3450.4,3217.4,15879,http://www.parker.com
648,649,Aaron's,3947.7,31.5,3297.8,1520.4,12100,#N/A
649,650,Flowserve,3944.9,253.7,4919.6,3127.2,17000,#N/A
650,651,Carvana,3939.9,-114.7,2057.7,8480,7324,#N/A
651,652,ASGN,3923.9,174.7,2941.4,1872,4300,#N/A
652,653,Sally Beauty Holdings,3876.4,271.6,2098.4,943.6,30050,http://www.sallybeautyholdings.com
653,654,ScanSource,3873.1,57.6,2067.3,542.1,2700,http://www.scansource.com
654,655,Ventas,3872.8,433,24692.2,9992.7,516,http://www.ventasreit.com
655,656,Country Financial,3868.1,167.3,15724.8,-,3839,#N/A
656,657,TriNet Group,3856,212,2748,2589.1,2900,http://www.trinet.com
657,658,Spirit Airlines,3830.5,335.3,7043.4,882.4,8938,http://www.spiritaero.com
658,659,Comerica,3817,1198,73402,4117.7,7708,#N/A
659,660,Lennox International,3807.2,408.7,2034.9,7016.9,11200,#N/A
660,661,Timken,3789.9,362.1,4859.9,2451.8,18829,http://www.timken.com
661,662,Paychex,3772.5,1034.4,8676,22570.4,15450,http://www.paychex.com
662,663,Amerco,3768.7,370.9,11891.7,5697,21900,#N/A
663,664,Worthington Industries,3759.6,153.5,2510.8,1433.2,12000,http://www.worthingtonindustries.com
664,665,Lamb Weston Holdings,3756.5,478.6,3048.1,8341.9,7600,#N/A
665,666,Laureate Education,3752.1,938.5,6515.6,2203.3,41000,#N/A
666,667,Penn Mutual Life Insurance,3705.1,396,36678.6,-,3318,http://www.pennmutual.com
667,668,iHeartMedia,3683.5,-,11021.1,1073.8,11400,#N/A
668,669,Brink's,3683.2,29,3763.8,2625.2,64300,#N/A
669,670,Sentry Insurance Group,3680.8,324.3,19752.6,-,4217,http://www.sentry.com
670,671,Acuity Brands,3672.7,330.4,3172.4,3393.8,12000,#N/A
671,672,Hub Group,3668.1,107.2,1991.6,1557.3,5000,#N/A
672,673,Meritage Homes,3666.9,249.7,3398.2,1372.7,1510,#N/A
673,674,MRC Global,3662,39,2325,349.6,3345,#N/A
674,675,Alliant Energy,3647.7,557.2,16700.7,11832.5,3597,#N/A
675,676,Workday,3627.2,-480.7,6816.4,30211,12200,http://www.wolverineworldwide.com
676,677,BMC Stock Holdings,3626.6,109.8,1906.1,1183.3,10200,#N/A
677,678,Abercrombie & Fitch,3623.1,39.4,3549.7,559.9,26000,#N/A
678,679,Domino's Pizza,3618.8,400.7,1382.1,12647.1,13100,#N/A
679,680,Lyft,3616,-2602.2,5691.4,8233.3,5683,#N/A
680,681,Meredith,3611.9,46.3,6136.9,554.1,5615,#N/A
681,682,American Water Works,3610,621,22682,21642.7,6800,#N/A
682,683,Albemarle,3589.4,533.2,9860.9,5993.2,6000,#N/A
683,684,Ciena,3572.1,253.4,3893.3,6111,6383,#N/A
684,685,Barnes & Noble,3552.7,3.8,1705.6,-,15538,#N/A
685,686,Weis Markets,3543.3,68,1675.6,1120.6,23000,http://www.weismarkets.com
686,687,Illumina,3543,1002,7316,40148.6,7700,#N/A
687,688,SVB Financial Group,3530.9,1136.9,71004.9,7787.7,3564,http://www.supervalu.com
688,689,Carter's,3519.3,263.8,2753.1,2887.4,20300,#N/A
689,690,Stifel Financial,3515,448.4,24610.2,2870.3,8205,http://www.stifel.com
690,691,Mednax,3513.5,-1497.7,4145.9,981,9480,#N/A
691,692,Equifax,3507.6,-398.8,7909,14569.4,11200,#N/A
692,693,Kar Auction Services,3505.5,188.5,6581.2,1546.4,13311,#N/A
693,694,Ashland Global Holdings,3505,505,7251,3016.6,4700,#N/A
694,695,Medical Mutual of Ohio,3502.7,83.7,2541.8,-,2801,#N/A
695,696,Sprague Resources,3502.4,31.3,1275.5,299.1,770,http://www.spragueenergy.com
696,697,Super Micro Computer,3500.4,71.9,1682.6,1090.8,3670,http://www.suntrust.com
697,698,Designer Brands,3492.7,94.5,2465.1,357.3,16100,#N/A
698,699,Pitney Bowes,3477.7,194.6,5466.9,349.6,11000,http://www.pb.com
699,700,Applied Industrial Technologies,3472.7,144,2331.7,1768.4,6650,#N/A
700,701,Pinnacle West Capital,3471.2,538.3,18479.2,8521.8,6210,http://www.pinnaclewest.com
701,702,American Equity Investment Life Holding,3464.3,246.1,69696.6,1716.3,608,#N/A
702,703,ServiceNow,3460.4,626.7,6022.4,54392.9,10371,http://www.servicemaster.com
703,704,Twitter,3459.3,1465.7,12703.4,19213,4900,http://www.21cf.com
704,705,Calumet Specialty Products Partners,3452.6,-43.6,1857.8,81.7,1500,#N/A
705,706,Steelcase,3443.2,126,2142.4,1156.8,12700,http://www.steelcase.com
706,707,Sanderson Farms,3440.3,53.3,1774.1,2742.4,17055,http://www.sandersonfarms.com
707,708,WABCO Holdings,3421.4,245.8,4037.1,6924.1,13911,http://www.wabco-auto.com
708,709,Clean Harbors,3412.2,97.7,4108.9,2866.3,14400,#N/A
709,710,Puget Energy,3401.1,210.7,14659.9,-,3130,http://www.pugetenergy.com
710,711,Scientific Games,3400,-130,7809,910.5,9800,http://www.saic.com
711,712,Granite Construction,3389.8,-105.4,2633.8,709.5,4200,#N/A
712,713,Carlyle Group,3377,380.9,13808.8,7539.2,1775,#N/A
713,714,Skyworks Solutions,3376.8,853.6,4839.6,15155.5,9000,http://www.skyworksinc.com
714,715,Aleris,3375.9,-11.8,2712.2,-,5600,#N/A
715,716,Triple-S Management,3375.6,92.9,2818.8,345,3992,http://www.triplesmanagement.com
716,717,Hexion,3374,-,4146,-,4000,#N/A
717,718,Hologic,3367.3,-203.6,6442.1,9270.9,6478,#N/A
718,719,Triumph Group,3364.9,-321.8,2854.6,350.5,10776,http://www.triumphgroup.com
719,720,Darling Ingredients,3363.9,312.6,5345.3,3144.6,10100,#N/A
720,721,MSC Industrial Direct,3363.8,288.9,2311.2,3044.9,6700,#N/A
721,722,Red Hat,3362.1,434,5588.3,-,13360,http://www.realogy.com
722,723,Synopsys,3360.7,532.4,6405.2,19347.8,13896,http://www.synopsys.com
723,724,PolyOne,3351.6,588.6,3273.3,1752.3,5600,#N/A
724,725,Dycom Industries,3339.7,57.2,2217.6,810.2,15230,#N/A
725,726,Cabot,3337,157,3004,1480.5,4500,#N/A
726,727,Prologis,3330.6,1573,40031.9,59400.6,1712,#N/A
727,728,Boyd Gaming,3326.1,157.6,6650.1,1609.4,24300,#N/A
728,729,LSC Communications,3326,-295,1649,3,20000,#N/A
729,730,Brown-Forman,3324,835,5139,25843.4,4700,#N/A
730,731,Stericycle,3308.9,-346.8,6437,4434,19500,http://www.stericycle.com
731,732,CIT Group,3296.1,529.9,50832.8,1692,3609,#N/A
732,733,MDC Holdings,3293.3,238.3,3338.4,1462.8,1656,#N/A
733,734,Hyster-Yale Materials Handling,3291.8,35.8,1847.2,672.8,7900,#N/A
734,735,Crane,3283.1,133.3,4423.7,2911.4,13000,#N/A
735,736,Cinemark Holdings,3283.1,191.4,5828,1193.8,22603,#N/A
736,737,Autodesk,3274.3,214.5,6179.3,34267.3,10100,#N/A
737,738,Trimble,3264.3,514.3,6640.7,7962.8,11484,http://www.tribunemedia.com
738,739,Garrett Motion,3248,313,2275,214,7400,#N/A
739,740,Zions Bancorp.,3245,816,69172,4389,10188,http://www.zionsbancorporation.com
740,741,Regal Beloit,3238,238.9,4430.7,2559.3,19560,http://www.regalbeloit.com
741,742,Service Corp. International,3230.8,369.6,13677.4,7083.9,20457,http://www.sci-corp.com
742,743,Varian Medical Systems,3225.1,291.9,4101.7,9307.8,10062,http://www.varian.com
743,744,PriceSmart,3223.9,73.2,1296.4,1608.7,9000,#N/A
744,745,Brinker International,3217.9,154.9,1258.3,449.3,56147,#N/A
745,746,Digital Realty Trust,3209.2,579.8,23068.1,36016.5,1550,#N/A
746,747,Pool,3199.5,261.6,1483.3,7921.2,4500,#N/A
747,748,Crestwood Equity Partners,3181.9,285.1,5349.3,307.6,894,#N/A
748,749,Infor,3171.2,142,6752.7,-,17380,#N/A
749,750,Plexus,3164.4,108.6,2000.9,1601.6,19000,#N/A
750,751,Teledyne Technologies,3163.6,402.3,4579.8,10893.1,11790,http://www.teledyne.com
751,752,G-III Apparel Group,3160.5,143.8,2565.1,369.7,6050,#N/A
752,753,Scotts Miracle-Gro,3156,460.7,3028.7,5693,5850,http://www.scotts.com
753,754,Apollo Global Management,3145.4,843.2,8542.1,7738.9,1421,#N/A
754,755,E*Trade Financial,3145,955,61416,7585.5,4122,#N/A
755,756,Toro,3138.1,274,2330.5,6963.3,9329,http://www.thetorocompany.com
756,757,Southwest Gas Holdings,3119.9,213.9,8170,3834,8944,http://www.swgas.com
757,758,GMS,3116,56,2149.6,665.7,5858,#N/A
758,759,Cooper-Standard Holdings,3108.4,67.5,2635.6,173,28000,#N/A
759,760,Acadia Healthcare,3107.5,108.9,6879.1,1629.1,35600,#N/A
760,761,Tetra Tech,3107.3,158.7,2147.4,3861.8,20000,http://www.tetratech.com
761,762,Primoris Services,3106.3,82.3,1830.5,767.2,9700,#N/A
762,763,Tempur Sealy International,3106,189.5,3061.8,2277.2,7400,http://www.tempursealy.com
763,764,H&R Block,3094.9,422.5,3299.9,2710.1,44600,#N/A
764,765,Qorvo,3090.3,133.1,5808,9327.7,8100,#N/A
765,766,TRI Pointe Group,3083,207.2,3858.7,1177,1386,http://www.treehousefoods.com
766,767,Cracker Barrel Old Country Store,3072,223.4,1581.2,1992.6,73000,#N/A
767,768,Elanco Animal Health,3071,67.9,8985.8,8923.1,6080,#N/A
768,769,PRA Health Sciences,3066.3,243,3544.4,5278.3,17500,#N/A
769,770,First Solar,3063.1,-114.9,7515.7,3802.8,6600,#N/A
770,771,AMC Networks,3060.3,380.5,5596.7,1350.7,2588,#N/A
771,772,Xilinx,3059,889.8,5151.3,19394.3,4433,http://www.xilinx.com
772,773,Green Plains,3055.4,-166.9,1698.2,170,820,#N/A
773,774,Columbia Sportswear,3042.5,330.5,2931.6,4702.7,8900,#N/A
774,775,Nexstar Media Group,3039.3,230.3,13989.7,2647.5,14891,#N/A
775,776,Southwestern Energy,3038,891,6717,914.4,923,http://www.swn.com
776,777,Greenbrier,3033.6,71.1,2990.6,578.3,17100,#N/A
777,778,Presidio,3026.1,35.2,2870.9,-,2900,#N/A
778,779,Citrix Systems,3010.6,681.8,4388.9,17319.8,8400,#N/A
779,780,Mettler-Toledo International,3008.7,561.1,2789.3,16558.8,15525,#N/A
780,781,Trinity Industries,3005.1,137.6,8701.4,1923.6,11875,http://www.trin.net
781,782,Mutual of America Life Insurance,3004.7,-21.2,23657.9,-,1202,#N/A
782,783,Lincoln Electric Holdings,3003.3,293.1,2371.2,4150.8,11000,#N/A
783,784,Tailored Brands,2998.7,-82.3,2419,84.3,16500,http://www.menswearhouse.com
784,785,A.O. Smith,2992.7,370,3058,6125.4,15100,#N/A
785,786,ArcBest,2988.3,40,1651.2,443.9,13000,#N/A
786,787,GoDaddy,2988.1,137,6301.2,9988.4,7024,#N/A
787,788,SkyWest,2972,340.1,6657.1,1316.2,13700,http://www.skywest.com
788,789,Boston Properties,2960.6,521.5,21284.9,14306.9,760,#N/A
789,790,Enable Midstream Partners,2960,396,12266,1118.5,1735,#N/A
790,791,Middleby,2959.4,352.2,5002.1,3196.1,9778,#N/A
791,792,NOW,2951,-97,1591,563.5,4300,#N/A
792,793,Unisys,2948.7,-17.2,2504,776.8,20800,http://www.unisys.com
793,794,Visteon,2945,70,2271,1344.4,11000,http://www.visteon.com
794,795,Graham Holdings,2932.1,327.9,5931.2,1790.6,15902,#N/A
795,796,Resolute Forest Products,2923,-47,3626,109.2,6700,#N/A
796,797,Caleres,2921.6,62.8,2431.7,208.2,11400,#N/A
797,798,AGNC Investment,2920,688,113082,5723.2,51,#N/A
798,799,Hill-Rom Holdings,2907.3,152.2,4919,6739.3,10000,#N/A
799,800,Moog,2904.7,179.7,3114.2,1713.1,12809,#N/A
800,801,Legg Mason,2903.3,-28.5,7794.1,4244.7,3246,#N/A
801,802,Atmos Energy,2901.8,511.4,13367.6,12132.5,4776,#N/A
802,803,Woodward,2900.2,259.6,3956.5,3698.1,9023,http://www.wolverineworldwide.com
803,804,Palo Alto Networks,2899.6,-81.9,6592.2,16347.6,7014,#N/A
804,805,H.B. Fuller,2897,130.8,3985.7,1435.9,6369,#N/A
805,806,Akamai Technologies,2893.6,478,7006.9,14810.6,7724,#N/A
806,807,Avaya Holdings,2887,-671,6950,770.9,7900,#N/A
807,808,Maximus,2886.8,240.8,1745.7,3721.5,29600,#N/A
808,809,PerkinElmer,2883.7,227.6,6538.6,8379,13000,#N/A
809,810,Hawaiian Electric Industries,2874.6,217.9,13745.3,4698.7,3841,#N/A
810,811,Kansas City Southern,2866,538.9,9786.8,12228.5,7040,#N/A
811,812,AptarGroup,2859.7,242.2,3562.1,6474.7,14000,#N/A
812,813,Public Storage,2846.8,1520.5,11365.4,34684.6,5900,#N/A
813,814,Selective Insurance Group,2846.5,271.6,8797.2,2967.5,2400,#N/A
814,815,ITT,2846.4,325.1,4107.7,3992.8,10500,#N/A
815,816,Donaldson,2844.9,267.2,2142.6,4897.2,14100,#N/A
816,817,Park Hotels & Resorts,2844,306,11290,1898.3,488,#N/A
817,818,Kirby,2838.4,142.3,6079.1,2608.1,5550,#N/A
818,819,Hawaiian Holdings,2832.2,224,4126.6,479.7,7437,#N/A
819,820,Popular,2830.7,671.1,52115.3,3103.3,8560,#N/A
820,821,Range Resources,2827.6,-1716.3,6612.4,580.8,655,#N/A
821,822,PC Connection,2820,82.1,937.3,1085.7,2609,#N/A
822,823,Amica Mutual Insurance,2808.5,173.3,6382.9,-,3983,#N/A
823,824,EnerSys,2808,160.2,3118.2,2095.1,11000,#N/A
824,825,Helmerich & Payne,2798.5,-33.7,5839.5,1703.9,8502,#N/A
825,826,NLV Financial,2772.1,223.5,35766.1,-,1278,#N/A
826,827,Valmont Industries,2767,153.8,2763.4,2281.1,9862,http://www.valmont.com
827,828,PAE,2763.9,-49.8,1371.3,597.3,20000,#N/A
828,829,Texas Roadhouse,2756.2,174.5,1983.6,2866.5,35554,http://www.ti.com
829,830,Cooper Tire & Rubber,2752.6,96.4,2802.3,819.3,8720,#N/A
830,831,Euronet Worldwide,2750.1,346.7,4657.7,4587.7,7700,#N/A
831,832,Zillow Group,2742.8,-305.4,6132,7411.2,5249,http://www.yum.com
832,833,Atlas Air Worldwide Holdings,2739.2,-293.1,5385.6,666.3,3587,#N/A
833,834,Energizer Holdings,2729.6,51.1,5449.6,2100.3,7500,#N/A
834,835,Magellan Midstream Partners,2727.9,1020.8,8437.7,8309.7,1884,#N/A
835,836,Hain Celestial Group,2710.6,-183.3,2582.6,2710.9,5441,#N/A
836,837,Univision Communications,2703.8,286.8,9320.7,-,4500,http://corporate.univision.com
837,838,Equity Residential,2701.1,970.4,21172.8,22954.8,2700,#N/A
838,839,Allison Transmission Holdings,2698,604,4450,3818.5,3700,#N/A
839,840,Colony Capital,2689.6,-1048.8,19832.2,852.9,400,#N/A
840,841,TTM Technologies,2689.3,41.3,3560.9,1095.6,25700,http://www.trw.com
841,842,Clear Channel Outdoor Holdings,2683.8,-363.3,6393.3,298.5,5900,#N/A
842,843,Guess,2678.1,96,2429,444.4,15800,#N/A
843,844,Rent-A-Center,2669.9,173.5,1582.8,781,14500,#N/A
844,845,Take-Two Interactive Software,2668.4,333.8,4243.1,13453.3,4894,http://www.take2games.com
845,846,Vishay Intertechnology,2668.3,163.9,3120.8,2084.3,22400,http://www.vishay.com
846,847,TransUnion,2656.1,346.9,7113.2,12560,8000,http://www.transdigm.com
847,848,Cooper,2653.4,466.7,6274.5,14701.6,12000,#N/A
848,849,FleetCor Technologies,2648.8,895.1,12248.5,15935.9,8700,#N/A
849,850,RH,2647.4,220.4,2445.7,1932.9,4750,#N/A
850,851,Renewable Energy Group,2643.2,380.1,1785.3,801,829,#N/A
851,852,BlueLinx Holdings,2637.3,-17.7,971.4,46.4,2189,#N/A
852,853,California Resources,2634,-28,6958,49.4,1250,#N/A
853,854,TopBuild,2624.1,191,2604,2400.1,10400,http://www.tollbrothers.com
854,855,Charles River Laboratories International,2621.2,252,4692.8,6245.5,17100,#N/A
855,856,Comfort Systems USA,2615.3,114.3,1505,1338.2,12000,#N/A
856,857,Verisk Analytics,2607.1,449.9,7055.2,22729.5,9180,http://www.ventasreit.com
857,858,ResMed,2606.6,404.6,4107.7,21300.6,7240,#N/A
858,859,Teleflex,2595.4,461.5,6309.8,13580.1,14400,#N/A
859,860,New Jersey Resources,2592,169.5,4373,3246.5,1108,#N/A
860,861,New Residential Investment,2585.6,563.3,44863.5,2081.9,3387,#N/A
861,862,Interactive Brokers Group,2580,161,71676,3313.4,1643,#N/A
862,863,Zayo Group Holdings,2578,150,9334.6,-,3781,http://www.yum.com
863,864,Herman Miller,2567.2,160.5,1569.3,1311.2,8000,#N/A
864,865,Grocery Outlet Holding,2559.6,15.4,2185.5,3087.2,765,#N/A
865,866,J.Crew Group,2540.1,-78.8,1599.3,-,9400,#N/A
866,867,Century Communities,2535.9,113,2500,483.4,1460,#N/A
867,868,Eldorado Resorts,2528.2,81,5640.6,1120.3,15500,#N/A
868,869,Catalent,2518,137.4,6184,8045.1,12300,#N/A
869,870,Itron,2502.5,49,2707.8,2242.2,7300,#N/A
870,871,M/I Homes,2500.3,127.6,2105.6,472.4,1401,#N/A
